Date,Close/Last,Volume,Open,High,Low
02/12/2021,$65.8533,3193567,$65.4016,$65.9083,$65.1166
02/11/2021,$65.185,4309154,$66.0633,$66.2683,$64.4483
02/10/2021,$65.3683,4984874,$65.57,$66.272,$64.2466
02/09/2021,$65.1616,5257520,$64.1666,$65.3266,$63.5116
02/08/2021,$64.2333,6596943,$64.46,$65.15,$63.3633
02/05/2021,$63.3083,4961786,$63.8516,$64.375,$63.0916
02/04/2021,$63.7483,6341949,$62.9283,$64.0333,$62.1883
02/03/2021,$62.93,7645671,$64.5833,$64.8716,$62.4083
02/02/2021,$64.56,15039354,$62.2166,$65.0116,$61.98
02/01/2021,$60.2266,6793677,$59.1483,$60.8116,$59.1333
01/29/2021,$58.4583,6860295,$58.665,$59.02,$57.6052
01/28/2021,$58.8533,9528532,$56.6666,$59.11,$56.3333
01/27/2021,$55.8616,13287257,$58.1683,$58.1683,$55.7608
01/26/2021,$59.0433,7090203,$61.2083,$61.2083,$58.9566
01/25/2021,$60.13,5752586,$61.4283,$61.6666,$57.9183
01/22/2021,$60.77,2681575,$60.6783,$61.1166,$60.5833
01/21/2021,$60.9366,5933390,$62.0866,$62.3733,$60.6166
01/20/2021,$61.7583,3398959,$61.6666,$61.8966,$60.9266
01/19/2021,$60.675,5663624,$61.39,$61.5916,$60.535
01/15/2021,$60.8116,4871318,$61.0616,$62.00,$60.6317
