Date,Close/Last,Volume,Open,High,Low
11/29/2021,$156.702,11188120,$157.732,$158.347,$152.471
11/26/2021,$157.67,7557510,$165.00,$166.127,$157.623
11/24/2021,$162.87,9713730,$155.541,$164.202,$154.124
11/23/2021,$157.306,10600860,$158.801,$161.364,$153.212
11/22/2021,$159.501,13575760,$170.101,$170.35,$158.052
11/19/2021,$169.06,15070210,$171.80,$176.2918,$168.5095
11/18/2021,$168.13,9707170,$164.60,$169.755,$163.721
11/17/2021,$163.781,6077710,$165.81,$167.6788,$163.5652
11/16/2021,$167.532,9159540,$163.00,$171.451,$162.851
11/15/2021,$165.65,14730360,$165.34,$170.439,$163.251
11/12/2021,$166.952,28395500,$152.097,$167.4785,$151.001
11/11/2021,$149.034,5457710,$150.05,$151.20,$149.00
11/10/2021,$147.40,6922370,$153.74,$154.487,$147.00
11/09/2021,$155.485,5944920,$154.60,$156.3051,$151.981
11/08/2021,$153.377,7644360,$154.00,$156.433,$152.2001
11/05/2021,$152.806,6538190,$153.50,$154.9999,$151.018
11/04/2021,$154.056,9932450,$151.529,$154.921,$149.55
11/03/2021,$149.534,7088620,$149.533,$149.718,$145.205
11/02/2021,$147.664,9063760,$152.30,$153.402,$147.102
11/01/2021,$152.762,15488390,$146.51,$153.176,$146.00
10/29/2021,$146.673,12631830,$143.50,$148.817,$141.982
10/28/2021,$145.70,37594900,$135.004,$150.471,$132.854
10/27/2021,$136.112,14519590,$136.40,$137.9167,$133.611
10/26/2021,$136.37,12909940,$142.80,$143.015,$135.771
10/25/2021,$142.516,8001190,$142.888,$143.90,$139.501
10/22/2021,$142.585,15291040,$147.00,$147.295,$140.448
10/21/2021,$149.671,6266550,$147.22,$150.672,$147.22
10/20/2021,$148.747,7125370,$149.795,$150.2316,$146.202
10/19/2021,$148.574,7261100,$147.985,$150.198,$147.00
10/18/2021,$146.511,8406310,$142.503,$146.602,$141.80
10/15/2021,$142.458,7320040,$141.481,$142.987,$139.705
10/14/2021,$140.675,6231380,$141.315,$142.70,$140.1708
10/13/2021,$139.897,6430030,$137.70,$139.951,$136.868
10/12/2021,$135.722,5997970,$136.994,$137.899,$135.10
10/11/2021,$135.701,6229470,$136.90,$138.549,$135.30
10/08/2021,$137.803,8904460,$141.778,$142.90,$137.2357
10/07/2021,$139.85,11085540,$137.299,$140.646,$136.517
10/06/2021,$134.988,8602160,$131.172,$135.90,$130.537
10/05/2021,$131.808,7878470,$131.246,$135.60,$131.246
10/04/2021,$131.49,11742480,$132.632,$133.90,$128.59
10/01/2021,$135.076,7294190,$136.246,$136.983,$133.925
09/30/2021,$135.578,7678970,$134.695,$137.699,$134.695
09/29/2021,$134.655,10059280,$138.10,$139.299,$134.114
09/28/2021,$136.931,13279860,$142.00,$142.555,$135.90
09/27/2021,$144.381,7654640,$143.60,$145.17,$141.426
09/24/2021,$144.40,8683650,$147.344,$147.595,$142.80
09/23/2021,$147.66,6196440,$147.40,$148.496,$145.60
09/22/2021,$146.59,5931780,$144.50,$147.473,$142.904
09/21/2021,$143.715,7709360,$144.50,$144.867,$142.344
09/20/2021,$143.453,12677250,$144.003,$146.4803,$140.112
09/17/2021,$148.629,5479390,$146.666,$148.746,$145.221
09/16/2021,$147.597,7566140,$146.90,$147.93,$145.10
09/15/2021,$147.494,6500850,$145.50,$147.764,$143.311
09/14/2021,$145.128,7795020,$147.541,$149.144,$144.30
09/13/2021,$147.687,9756630,$149.20,$149.539,$143.236
09/10/2021,$148.41,5024100,$151.50,$151.771,$147.95
09/09/2021,$150.408,6622900,$149.10,$151.931,$148.593
09/08/2021,$147.781,10681040,$153.70,$153.794,$147.575
09/07/2021,$153.67,6122160,$155.474,$156.3766,$152.6895
09/03/2021,$155.425,6022310,$154.50,$156.803,$154.10
09/02/2021,$154.26,9421620,$154.24,$158.80,$153.8402
09/01/2021,$153.903,5753430,$152.765,$155.224,$152.328
08/31/2021,$152.478,5201210,$155.423,$155.423,$152.129
08/30/2021,$154.90,6600400,$154.094,$156.00,$152.801
08/27/2021,$153.142,5210150,$151.70,$153.899,$151.114
08/26/2021,$151.558,6271380,$154.899,$155.69,$151.419
08/25/2021,$155.224,8031240,$154.145,$155.597,$151.16
08/24/2021,$153.851,13567580,$151.001,$156.20,$151.00
08/23/2021,$148.141,8693730,$145.621,$148.815,$145.3079
08/20/2021,$145.07,7834890,$147.76,$148.58,$143.75
08/19/2021,$146.611,6249510,$147.201,$149.955,$146.311
08/18/2021,$148.918,8203650,$147.458,$151.40,$147.12
08/17/2021,$148.187,11451730,$148.568,$149.3265,$145.808
08/16/2021,$148.90,12814590,$149.146,$153.46,$146.871
08/13/2021,$149.80,6229360,$150.00,$150.498,$147.50
08/12/2021,$150.32,10822290,$148.253,$151.40,$145.594
08/11/2021,$148.523,9219130,$153.625,$153.7435,$148.08
08/10/2021,$152.594,12074970,$155.70,$158.337,$151.4435
08/09/2021,$154.999,10938120,$152.58,$155.199,$151.008
08/06/2021,$152.506,6928670,$153.291,$155.099,$150.1272
08/05/2021,$154.555,8228060,$155.321,$157.60,$153.385
08/04/2021,$155.552,6690630,$152.408,$155.825,$151.701
08/03/2021,$152.256,16119380,$154.214,$155.975,$149.90
08/02/2021,$153.867,14318830,$150.383,$155.50,$149.3051
07/30/2021,$153.867,10309820,$150.383,$155.50,$149.3051
07/29/2021,$152.50,17606470,$152.806,$156.0215,$151.00
07/28/2021,$153.80,22118000,$157.70,$158.315,$149.7025
07/27/2021,$155.51,17330920,$158.203,$160.242,$151.3035
07/26/2021,$158.228,14329860,$164.923,$165.00,$157.671
07/23/2021,$164.332,14017670,$160.80,$165.00,$159.593
07/22/2021,$159.409,18515830,$156.426,$160.257,$156.426
07/21/2021,$156.936,13495250,$151.751,$156.936,$151.564
07/20/2021,$152.478,12862980,$147.735,$153.352,$145.8161
07/19/2021,$147.201,14300840,$141.516,$147.537,$139.301
