ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001256484-24-000032	187535	0001943239	028-23188	000310355	801-119868	V-Square Quantitative Management LLC
0001256484-24-000032	187536	0001050470	028-06580	000109918	801-47689	LSV ASSET MANAGEMENT
0001256484-24-000032	187537	0000885709		000107160	801-19762	PAYDEN & RYGEL INVESTMENT GROUP
0001256484-24-000032	187538	0001050477	028-06636	000108518	801-54641	SNYDER CAPITAL MANAGEMENT L P
0001256484-24-000032	187539	0001414702				Haven Global Partners LP
0001256484-24-000032	187540	0001507115	028-14137	000110297	801-52751	Madison Investment Advisors, LLC
0001256484-24-000032	187489	0001197921	028-15333			KELLOGG W K FOUNDATION TRUST
0001256484-24-000032	187543	0001908619	028-24042	000300915	801-114880	Promethos Capital, LLC
0001256484-24-000032	187542	0000053417	028-00074	000107959	801-5608	JENNISON ASSOCIATES LLC
0001256484-24-000032	187541	0001541743	028-14668	000135822	801-68586	Copeland Capital Management, LLC
0001256484-24-000032	187544	0000937729	028-10991	000106584	801-1725	FAYEZ SAROFIM & CO
0001256484-24-000032	187545	0000315066	028-00451			FMR LLC
0000950123-24-011224	187127		028-11416			Amundi
0001623632-24-001885	187780	0001056288	028-04375			FEDERATED HERMES, INC.
0000072971-24-000251	185532	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0000950123-24-011221	187891		028-11416			Amundi
0001623632-24-001883	184852	0001056288	028-04375			FEDERATED HERMES, INC.
0000072971-24-000250	185407	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0001425852-24-000007	185594		28-12836			GUGGENHEIM CAPITAL LLC
0000919574-24-006399	187426	0001350879	028-11627	000133738	801-65262	INDUS CAPITAL PARTNERS, LLC
0001104659-24-117631	185829		028-16000			Select Equity Group, L.P.
0001104659-24-117631	185830		028-22276			Eagle Rock Investment Company, LLC
0001104659-24-117631	185831		028-12146			Carl Domino, Inc.
0001104659-24-117631	185832		028-02013			Harris Associates LP
0001104659-24-117631	185833		028-12068			Aull & Monroe Investment Management Corp
0001104659-24-117631	185840		028-01260			First Manhattan Co., LLC
0001104659-24-117631	185835		028-01399			Southeastern Asset Management Inc/TN
0001104659-24-117631	185836		028-15776			Covey Capital Advisors, LLC
0001104659-24-117631	185837		028-04558			Parametric Portfolio Associates LLC
0001104659-24-117631	185838		028-05505			Sawgrass Asset Management, LLC
0001104659-24-117631	185839		028-03434			Congress Asset Management Company, LLP
0001104659-24-117631	185834		028-00030			John W. Bristol & Co Inc.
0001623632-24-001881	187750	0001056288	028-04375			FEDERATED HERMES, INC.
0000072971-24-000249	187473	0000072971	028-00165			WELLS FARGO & COMPANY/MN
0001172661-24-004629	185582	0001320168	028-11313	000110861	801-15254	AMERICAN CAPITAL MANAGEMENT INC
0001172661-24-004629	185581	0000846222	028-02408	000104729	801-31678	GREENHAVEN ASSOCIATES INC
0001623632-24-001879	186147	0001056288	028-04375			FEDERATED HERMES, INC.
0000950123-24-011216	186872		028-11416			Amundi
0000950123-24-011213	185459		028-11416			Amundi
0000950123-24-011212	186940		028-11416			Amundi
