ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001892688-24-000148	0	84	1699314547	N
0001085146-24-005966	4	469	23718035000	N
0001420506-24-002571	0	379	896545706	N
0001962685-24-000005	0	109	94969760	N
0001068837-24-000014	4	4520	96445802919	N
0001085146-24-005965	0	17	795505062	N
0001880562-24-000006	0	108	62284769	N
0001085146-24-005963	0	752	4749419229	N
0001172661-24-005269	2	1496	9401047329	
0002037231-24-000011	0	49	251791876	N
0000895345-24-000585	0	68	2037780820	
0001437749-24-035346	1	26	126969207	Y
0001843543-24-000004	0	16	266604647	
0001904388-24-000005	0	82	309253696	N
0001595521-24-000010	0	238	322181929	N
0000919574-24-006752	1	206	651925188	
0000902664-24-006632	0	99	1237468867	
0001493152-24-045963	0	15	196269	
0001829805-24-000012	0	1	0	Y
0001308555-24-000004	0	25	95115490	
0000950123-24-011864	8	141	513979111	N
0001420506-24-002569	0	146	1089336193	N
0001892688-24-000147	0	21	150018915	N
0001812881-24-000004	0	0	0	N
0000902664-24-006631	0	1	0	
0000902664-24-006630	0	23	2687415326	
0001085146-24-005962	1	30	762391071	N
0000902664-24-006629	0	1	0	
0000921895-24-002729	5	20	4704254441	
0001103882-24-000007	4	1231	3609516840	N
0000902664-24-006627	1	917	531932677	
0001962449-24-000007	0	343	2328363927	N
0000899140-24-001277	0	153	1764821146	
0000919458-24-000005	0	158	1362543886	N
0001912699-24-000010	0	2	663978	N
0000902664-24-006626	0	1	266909575	
0000899140-24-001276	0	7	654533438	
0000902664-24-006625	1	438	1467154628	
0001085146-24-005961	0	3	993520	N
0000904454-24-000615	0	7	1654763707	
0001904323-24-000004	0	93	141533972	N
0001839882-24-039271	0	38	1201936637	
0001085146-24-005959	0	4	10714249	N
0000905148-24-003180	0	3	47411978	
0000902664-24-006623	1	1390	2951076694	
0000902664-24-006622	0	1	26049270	
0001965005-24-000007	0	16	372791114	N
0000872573-24-000024	0	512	2670467266	N
0000905148-24-003177	0	18	509650509	
0000902664-24-006620	0	1931	39343262001	
0001104659-24-119034	0	82	8673579253	
0001085146-24-005958	0	1	0	N
0001062993-24-019158	0	85	870199363	N
0000902664-24-006619	0	24	946726016	
0001140361-24-046937	0	95	9707082176	
0001709323-24-000009	0	8	2472447859	N
0001420506-24-002567	0	6	317308475	N
0000902664-24-006618	1	32	305656774	
0001892688-24-000146	0	5	1229786067	N
0001353316-24-000013	2	17	399517346	N
0000902664-24-006616	1	2906	16337647083	
0001104659-24-119021	4	5681	116492369102	
0000919574-24-006748	2	49	1543107965	
0001041885-24-000012	0	461	2562617	N
0000902664-24-006614	0	16	252062223	
0000902664-24-006613	0	7	46512419	
0001207017-24-000060	1	3726	74783456	N
0001085146-24-005956	0	1	0	N
0001512404-24-000006	0	131	620223342	N
0000104889-24-000073	0	5	825416	N
0000902664-24-006612	0	4	71302824	
0000950123-24-011851	10	26	13699156875	N
0001424367-24-000014	1	231	927033697	N
0001085146-24-005955	0	2	1679454	N
0000950103-24-016309	0	1	143672086	Y
0001539497-24-002435	9	19	9877196323	Y
0000905148-24-003162	1	12	735084179	
0000902664-24-006611	0	17	451373914	
0001085146-24-005954	0	1	3497385	N
0000902664-24-006610	0	20	6715538063	
0000902664-24-006609	0	31	142481419	
0001214659-24-019191	0	43	1397666879	
0000950123-24-011850	0	3	43152303	N
0001169883-24-000006	0	41	130875095	
