ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001881243-24-000004	176103	0001632494	028-17968	000173781	801-80692	Amplify Investments, LLC
0000950123-24-004171	176032		028-04825			Baillie Gifford & Co.
0000950123-24-004171	176033		028-12019			BlackRock Inc.
0000950123-24-004171	176034		028-06044			CBRE Investment Management Listed Real Assets LLC
0000950123-24-004171	176035		028-01186			Dimensional Fund Advisors LP
0000950123-24-004171	176036		028-00734			Franklin Resources Inc.
0000950123-24-004171	176037		028-01185			Frontier Capital Management Co LLC
0000950123-24-004171	176038		028-02013			Harris Associates LP
0000950123-24-004171	176039		028-11246			Invesco Ltd.
0000950123-24-004171	176041		028-00694			JPMorgan Chase & Co
0000950123-24-004171	176042		028-00398			Loomis, Sayles & Company LP
0000950123-24-004171	176043		028-13120			Macquarie Group LTD
0000950123-24-004171	176044		028-04968			Massachusetts Financial Services Co/MA
0000950123-24-004171	176045		028-00491			Metropolitan Life Insurance Co/NY
0000950123-24-004171	176046		028-03432			Morgan Stanley
0000950123-24-004171	176047		028-13573			Neuberger Berman Group LLC
0000950123-24-004171	176048		028-03042			PanAgora Asset Management Inc
0000950123-24-004171	176049		028-04731			Schroder Investment Management Group
0000950123-24-004171	176050		028-00399			STATE STREET CORP
0000950123-24-004171	176051		028-02494			TCW Group Inc
0000950123-24-004171	176052		028-00115			Price T Rowe Associates Inc/MD
0000950123-24-004171	176053		028-02783			Van Eck Associates Corp
0000950123-24-004171	176054		028-06354			Victory Capital Management Inc
0000950123-24-004171	176055		028-04557			Wellington Management Group LLP
0000950123-24-004171	176056		028-10245			Western Asset Management Company, LLC
0000950123-24-004171	176031		028-13578			Artisan Partners LimitedPartnership
0000950123-24-004171	176030		028-21522			Allspring Global Investments Holdings, LLC
0000950123-24-004171	176029		028-15014			Allianz Asset Management GmbH
0000950123-24-004171	176028		028-10562			AllianceBernstein L.P.
