FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
"America First Investment Advisors, LLC",,,,,,,,,,,,,inf,6.47,-18.78,28.59,28.21,5.38,-100.0,
"American Capital Advisory, LLC",,,,,,,,,,,,,,,,,inf,-100.0,inf,-16.8
American Portfolios Advisors,,405.63,-70.95,27.74,43.07,30.8,23.36,52.13,-14.03,-36.55,-24.02,-100.0,,,,,,,,
American Research & Management Co.,,,,,,,,,,,inf,-100.0,,,,,,,,
American Trust,,,,,,,,,,,,,,,,inf,5.23,-8.59,137.33,-20.32
"American Trust Investment Advisors, LLC",,,inf,-100.0,,,,,,,,inf,24.58,-12.05,-18.78,44.83,28.21,5.39,-48.98,-16.82
"Americana Partners, LLC",,,,,,,,inf,10.49,168.22,-10.04,123662.89,25.38,10.75,-10.44,17.68,33.59,13.13,-12.83,59.99
"Ameritas Advisory Services, LLC",,,,,,,,inf,-21.37,-100.0,,inf,-32.62,-100.0,inf,47.8,87.82,15.2,-49.82,-18.42
"Ameritas Investment Company, LLC",,700.0,0.0,-100.0,inf,-99.76,-89.77,-100.0,,,,,,,,,,,,
"Ameritas Investment Partners, Inc.",,,inf,-100.0,,,,,,,,,,,,,,,,
"Amplius Wealth Advisors, LLC",,,,,,,,inf,-100.0,,,,,,,inf,26.82,5.39,-18.83,-100.0
Analog Century Management LP,,,,,inf,-100.0,,,inf,-47.65,58.83,173950.17,-100.0,,,,,,,
"Anchor Investment Management, LLC",,,inf,32.07,1816.81,2.4,1.74,14.44,-10.11,-31.81,48.07,16.12,26.24,194.97,-20.7,43.08,41.06,27.4,-8.25,-2.79
Ancora Advisors LLC,,,,,,,,,,,,,,,,inf,59.36,10.18,112.18,1196.55
"Ancora Advisors, LLC",,inf,0.0,37.5,72.73,10.53,-16.67,42.86,236.0,-42.86,-13.54,-15.66,124372.86,6.47,-18.78,-100.0,,,,
Andar Capital Management HK Ltd,,,,,,,,inf,-100.0,,,,,,inf,-33.03,-100.0,,inf,199.04
Andesa Financial Management Inc.,,,,,inf,-1.21,-9.84,5.0,-100.0,,,,inf,-100.0,,,,,,
"Angeles Investment Advisors, LLC",,-100.0,inf,267.53,503.89,-72.83,62.38,-22.15,-100.0,,,,,,,,inf,31.32,-23.82,-67.33
"Annapolis Financial Services, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
"Annex Advisory Services, LLC",,,,,,,,,,,,,,,,,,,,inf
"Annis Gardner Whiting Capital Advisors, LLC",,,,,,,,,,,,,,,inf,44.58,72.75,20.09,-37.78,-96.86
Apeiron RIA LLC,,,,,,,,,,inf,-100.0,,,,,,,,,
"Apella Capital, LLC",,,,,inf,123.7,7.2,-46.25,-16.18,-100.0,,,,inf,-18.78,18.96,41.35,16.17,-21.49,-16.04
"Aperio Group, LLC",,49.41,0.71,39.61,-100.0,,,,,,,,,,,,,,,
"Aperture Investors, LLC",,644.23,-100.0,,,,,,,,,,,,,,,,,
"Apexium Financial, LP",,,,,,,,,,,,,,,,,,inf,-100.0,
"Apollon Wealth Management, LLC",,,inf,-100.0,inf,21.64,27.4,35.81,-4.56,-26.02,-11.74,132010.31,15.22,15.56,9.9,63.71,22.18,8.56,-7.97,-4.48
Appian Way Asset Management LP,,-100.0,,,,,,,,,,,,,,,,,,
"Aprio Wealth Management, LLC",,,,,,,,,,,,,inf,30.37,-22.45,108.11,24.06,9.58,-17.28,-10.55
"Aptus Capital Advisors, LLC",,,inf,54.06,-17.06,22.49,-8.03,2.97,-22.46,-29.58,-10.81,-100.0,,,,,inf,7.24,48.62,180.96
Archer Investment Corp,,,,,,,,,,,,inf,-37.71,6.47,-18.78,65.32,28.21,5.38,8.67,8.63
"Archford Capital Strategies, LLC",,,,,,,,,,,inf,121542.4,21.7,0.49,-14.97,26.26,30.58,16.83,-15.21,155.99
Arden Trust Co,,27.68,-3.79,90.99,32.89,1.17,0.33,6.89,-27.98,-29.26,-17.07,136371.19,-99.91,-53.55,70018.11,-17.46,10.67,4.42,-100.0,
Ardmore Road Asset Management LP,,,,,,,,,,,,,,,,,inf,-8.72,-100.0,
"Arete Wealth Advisors, LLC",,,inf,39.53,27.5,-56.43,148.5,10.66,-17.64,-100.0,inf,-100.0,inf,-100.0,,inf,-100.0,inf,-100.0,inf
"Argent Financial Group, Inc.",,,,,,,,,,,,,,,,,,,inf,-100.0
Argent Trust Co,,,,inf,26.49,15.45,-78.23,7.29,-16.5,-19.77,-4.35,131533.33,24.58,161.82,167.14,28.58,35.69,4.69,7.63,-36.1
Aristides Capital LLC,,,,,,,,,,,,,,,,,,,,inf
Arkadios Wealth Advisors,,-100.0,,inf,37.5,45.45,62.5,-100.0,inf,-100.0,,,inf,-100.0,,inf,9.51,14.97,748.57,-82.57
"Arlington Financial Advisors, LLC",,,,,,,,,,,,,,,,inf,28.21,5.38,-18.53,-22.82
Arlington Partners LLC,,,,inf,25.58,-100.0,,inf,-16.13,-28.85,-12.43,131235.19,24.46,13.31,-23.68,28.58,-100.0,,,
Arlington Trust Co LLC,,,,,,,,,,,,,,,inf,33.54,-1.3,-3.09,-18.53,-16.82
"Armor Investment Advisors, LLC",,40.75,-100.0,inf,26.7,11.73,8.01,6.75,-16.05,-28.86,-12.66,131488.76,24.58,6.47,-18.78,28.74,29.0,5.39,-18.53,-16.82
"Armstrong, Fleming & Moore, Inc",,,,,,,,,,,,,,,,inf,31.22,5.39,-18.32,-16.82
Artemis Investment Management LLP,,,inf,-100.0,,,,inf,-100.0,,,,,,,,,,,
"Artemis Wealth Advisors, LLC",,,,,,,inf,6.85,-100.0,,,,,inf,-59.39,-100.0,,,,
Artisan Partners Limited Partnership,,115.55,26.52,25.07,2.89,17.95,-9.01,-7.76,-23.44,-34.96,-11.58,88542.53,13.64,-3.82,-10.91,21.37,37.33,51.38,-53.72,-100.0
"Ascent Group, LLC",,,,,,,,inf,0.57,-13.27,-13.06,117244.49,46.54,-7.95,-9.38,49.76,1.54,12.26,-17.2,-98.23
"Ashfield Capital Partners, LLC",,,,,,inf,10.09,7.55,42.06,-100.0,,,,,,,,,,
"Ashton Thomas Private Wealth, LLC",,,,,,,,,,inf,-5.36,36.26,35.76,18.4,-11.48,27.51,22.16,6.88,-19.14,-10.83
"Asio Capital, LLC",,,,,,,,,,,,,,,,,,,inf,35.89
"Aspen Grove Capital, LLC",,,,,,,,,,,,inf,-22.85,21.25,-22.21,41.61,28.82,-3.77,-2.19,-28.93
"Aspen Wealth Strategies, LLC",,,,,,,,,,,,,,,,,,,inf,-100.0
"Aspiring Ventures, LLC",,,,,,,,,,,,,,,,,,,,inf
