ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,issuer_lower,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED,REPORTCALENDARORQUARTER_dt
0000861177-22-000006,74365508,AMAZON COM INC,EQUITY US CM,023135106,,343549267,3040259,SH,,SOLE,,1289138,0,1751121,amazon com inc,UBS ASSET MANAGEMENT AMERICAS INC,30-SEP-2022,,2022-09-30
0000861177-22-000006,74365501,AMAZON COM INC,EQUITY US CM,023135106,,1404020819,12424963,SH,,SOLE,7,5890230,0,6534733,amazon com inc,UBS ASSET MANAGEMENT AMERICAS INC,30-SEP-2022,,2022-09-30
0001771673-22-000006,73965183,AMAZON COM INC,COM,023135106,,18645,165000,SH,,SOLE,0,165000,0,0,amazon com inc,"Center Lake Capital Management, LLC",30-SEP-2022,,2022-09-30
0000861177-22-000006,74365497,AMAZON COM INC,EQUITY US CM,023135106,,45724094,404638,SH,,SOLE,1,331104,0,73534,amazon com inc,UBS ASSET MANAGEMENT AMERICAS INC,30-SEP-2022,,2022-09-30
0001062993-22-022013,74691114,AMAZON COM INC,COM,023135106,,449,3977,SH,,SOLE,,3977,0,0,amazon com inc,Chimera Capital Management LLC,30-SEP-2022,,2022-09-30
0001085146-22-004044,73971894,AMAZON COM INC,COM,023135106,,479,4240,SH,,SOLE,,0,0,4240,amazon com inc,"High Falls Advisors, Inc",30-SEP-2022,,2022-09-30
0001908904-22-000004,74083578,AMAZON COM INC,COM,023135106,,504,4460,SH,,SOLE,,4460,0,0,amazon com inc,KENFARB & CO.,30-SEP-2022,,2022-09-30
0001062993-22-022014,73494870,AMAZON COM INC,COM,023135106,,11139,98579,SH,,SOLE,,98579,0,0,amazon com inc,"Jaffetilchin Investment Partners, LLC",30-SEP-2022,,2022-09-30
0000919574-22-006727,74539635,AMAZON COM INC,COM,023135106,,302326,2675450,SH,,SOLE,,2675450,0,0,amazon com inc,TIGER GLOBAL MANAGEMENT LLC,30-SEP-2022,,2022-09-30
0001104659-22-118299,74631779,AMAZON.COM INC,COM,023135106,,315701,2793818,SH,,SOLE,1,2793818,0,0,amazon.com inc,"AMERICAN INTERNATIONAL GROUP, INC.",30-SEP-2022,,2022-09-30
0001909846-22-000004,73934965,AMAZON.COM INC,COMMON,023135106,,811,7157,SH,,SOLE,,4420,123,2737,amazon.com inc,Covestor Ltd,30-SEP-2022,,2022-09-30
0001120927-22-000005,73575863,AMAZON COM INC,COM,023135106,,10938,96796,SH,,SOLE,,96796,0,0,amazon com inc,MONETA GROUP INVESTMENT ADVISORS LLC,30-SEP-2022,,2022-09-30
0001802530-22-000005,73219250,AMAZON COM INC,COM,023135106,,1003,8877,SH,,SOLE,,0,0,8877,amazon com inc,Fiduciary Planning LLC,30-SEP-2022,,2022-09-30
