FILINGMANAGER_NAME,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
AllSquare Wealth Management LLC,,22.38,-15.49,8.73,-12.52,20.55,-17.2,37.5,-17.65,-21.59,-23.6,84960.98,51.32,27.81,-26.39,43.14,25.26,-7.74,-1.09,-32.71
Allegheny Financial Group LTD,,,,,,,,inf,-100.0,,,,,,,,,,,
"Allegiant Private Advisors, LLC",,,,inf,-14.37,19.77,-100.0,,,,,,,,,,,,,
"Allen Capital Group, LLC",,,,,,,,,,,,,,inf,-100.0,inf,23.28,-26.11,37.57,-100.0
"Alliance Wealth Advisors, LLC",,,,,,,,,,,,,,,,inf,1.72,-6.38,21.41,-14.63
"Allied Investment Advisors, LLC",,,,,,,,,,,,,,,,,inf,-100.0,,
"Allred Capital Management, LLC",,-100.0,,,inf,-100.0,,,,,,,,,,inf,113.29,3.19,8.65,-35.55
Allworth Financial LP,,5.45,-68.97,150.0,8.89,159.18,56.69,120.6,497.95,-30.13,59.11,53786.94,61.06,52.76,-25.42,57.06,1.5,-0.84,30.48,-14.2
"Almanack Investment Partners, LLC.",,,,,,,inf,37.51,-19.51,-27.49,-37.5,95435.65,43.6,124.0,-55.09,40.58,25.22,75.22,-50.89,-27.44
"Alpha Cubed Investments, LLC",,1.01,49.67,21.16,-16.73,19.21,7.96,40.14,6.85,-21.19,-5.23,982864.26,100.68,-83.45,-16.35,1226.41,-73.12,29.43,-5.79,-57.69
Alpha DNA Investment Management LLC,,,,inf,-91.03,814.43,-100.0,,,,,,,,,,,,,
Alpha Omega Wealth Management LLC,,,,,,,,,inf,-35.88,-17.36,99613.17,51.32,16.22,-9.74,43.37,22.44,-10.13,2.18,-26.38
"Alpha Paradigm Partners, LLC",,,,inf,16383.52,213.78,-31.59,-33.75,123.44,-17.76,-99.88,36734.73,-100.0,,,,,,,
Alpha Square Group S LLC,,,,,,,,,,,,,,,,inf,-12.54,-100.0,,
"Alpha Square Group S, LLC",,,,,,,,inf,54.93,-73.34,-100.0,,,,inf,-100.0,,,,
AlphaCore Capital LLC,,-100.0,,,,,,,,,,,,,,,,inf,-40.3,-31.84
AlphaCrest Capital Management LLC,,-56.61,43.6,-28.02,1323.13,-61.14,-70.64,-29.79,15.0,426.46,-26.26,-100.0,,,,,,,,
"AlphaMark Advisors, LLC",,,,,inf,166.67,12.5,44.44,-23.08,-30.0,157.14,-16.67,53.33,13.04,0.0,-3.85,100.0,-28.0,-66.67,-25.0
"AlphaStar Capital Management, LLC",,,,inf,35.15,-67.12,-100.0,,,,,inf,-100.0,,inf,717.56,-61.19,16.7,4.57,-100.0
Alphadyne Asset Management LP,,,,,,,,,,,,,,inf,616.71,-100.0,,,,
"Alphastar Capital Management, LLC",,,,,,,inf,9.35,-6.96,36.64,-21.7,-100.0,,,,,,,,
Alpine Bank Wealth Management,,,,,,,,,,,,,,,,,,,inf,-100.0
"Alpine Global Management, LLC",,inf,-100.0,,,,,,,,,,,,,,inf,38.65,-100.0,
Alpine Investment Management Ltd,,,,,,,,,,,,,,,inf,-100.0,inf,124.68,-100.0,
