ACCESSION_NUMBER,INFOTABLE_SK,NAMEOFISSUER,TITLEOFCLASS,CUSIP,FIGI,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,PUTCALL,INVESTMENTDISCRETION,OTHERMANAGER,VOTING_AUTH_SOLE,VOTING_AUTH_SHARED,VOTING_AUTH_NONE,FILINGMANAGER_NAME,REPORTCALENDARORQUARTER,DATEREPORTED
0001068837-25-000006,109679079,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,BBG006473QX9,7869,507,SH,,DFND,"1,5",0,507,0,Voya Investment Management LLC,31-MAR-2023,
0001068837-25-000006,109679080,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,BBG006473QX9,1279096,82416,SH,,DFND,"1,5,3",0,0,82416,Voya Investment Management LLC,31-MAR-2023,
0001085146-25-000754,109485792,APPLE INC,COM,037833100,,1507552,9142,SH,,SOLE,,0,0,9142,"Weinberger Asset Management, Inc",31-MAR-2023,
0002051491-25-000009,109299525,APPLE INC,COM,037833100,BBG001S5N8V8,29072533,176304,SH,,SOLE,,174575,0,1729,"Westmount Partners, LLC",31-MAR-2023,
0000919574-25-001284,111246254,APPLE INC,COM,037833100,,4460399,25544,SH,,SOLE,,25544,0,0,"Ategra Capital Management, LLC",31-MAR-2022,
0002053305-25-000009,110474363,APPLE INC,COM,037833100,,42256,242,SH,,SOLE,,0,0,242,BIT Capital GmbH,31-MAR-2022,
0001214659-24-019866,108443866,APPLE INC,COM,037833100,,30320673,173648,SH,,SOLE,,173648,0,0,"CONWAY CAPITAL MANAGEMENT, INC.",31-MAR-2022,
0001667731-25-000302,111813093,APPLE INC,COM,037833100,,52082477,298279,SH,,SOLE,,298279,0,0,Clare Market Investments LLC,31-MAR-2022,
0001729939-24-000017,108528343,APPLE INC,COM,037833100,,2702465,15477,SH,,DFND,1.0,0,0,15477,"Cypress Capital, LLC",31-MAR-2022,
0002043130-25-000012,109509335,APPLE INC,COM,037833100,,2992466,17138,SH,,SOLE,,17138,0,0,Generali Investments Towarzystwo Funduszy Inwestycyjnych,31-MAR-2022,
0002042955-25-000018,109533292,APPLE INC,COM,037833100,,3512804,20118,SH,,SOLE,,20118,0,0,Generali Powszechne Towarzystwo Emerytalne,31-MAR-2022,
0001085146-24-006064,108452088,APPLE INC,COM,037833100,,13005644,74484,SH,,SOLE,,0,0,74484,"Independent Solutions Wealth Management, LLC",31-MAR-2022,
0001214659-24-020378,108417348,APPLE INC,COM,037833100,,12558475,71923,SH,,SOLE,,0,0,71923,"Legacy Wealth Management, LLC / MS",31-MAR-2022,
0001420506-25-000400,111230240,APPLE INC,COM,037833100,,8961954,51326,SH,,SOLE,,0,0,51326,MSH Capital Advisors LLC,31-MAR-2022,
0001085146-25-001277,111179661,APPLE INC,COM,037833100,,5626307,32221,SH,,SOLE,,0,0,32221,"NFP Retirement, Inc.",31-MAR-2022,
0001140361-25-000812,108708692,APPLE HOSPITALITY REIT INC,COM NEW,03784Y200,,3347811,186300,SH,,SOLE,,186300,0,0,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2022,
0001140361-25-000812,108708693,APPLE INC,COM,037833100,,749716147,4293661,SH,,SOLE,,4478249,0,0,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2022,
0001140361-25-000812,108708694,APPLE INC,COM,037833100,,32139070,184062,SH,,SOLE,2,78824,0,105238,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2022,
0001140361-25-000812,108708695,APPLE INC,COM,037833100,,92543300,530000,SH,,SOLE,4,0,0,530000,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2022,
0001140361-25-000812,108708696,APPLE INC,COM,037833100,,40119267,229765,SH,,SOLE,1,926,2500,226339,NOMURA ASSET MANAGEMENT CO LTD,31-MAR-2022,
0001221073-25-000020,110451199,APPLE INC,COM,037833100,,2074109,11879,SH,,SOLE,,572,0,11307,"Saiph Capital, LLC",31-MAR-2022,
0000946431-24-000017,108439517,APPLE INC,COM,037833100,,2262627985,12958181,SH,,DFND,1,12958181,0,0,Swedbank AB,31-MAR-2022,
0000946431-24-000017,108439518,APPLE INC,COM,037833100,,4207228,24095,SH,,SOLE,0,24095,0,0,Swedbank AB,31-MAR-2022,
0001085146-25-000749,109506505,APPLE INC,COM,037833100,,1258437,7207,SH,,SOLE,,0,0,7207,"Weinberger Asset Management, Inc",31-MAR-2022,
0000919574-25-001268,110824922,APPLE INC,COM,037833100,,3311659,27111,SH,,SOLE,,27111,0,0,"Ategra Capital Management, LLC",31-MAR-2021,
0002053305-25-000005,110296534,APPLE INC,COM,037833100,,2477568,20283,SH,,SOLE,,12860,0,7423,BIT Capital GmbH,31-MAR-2021,
0001214659-24-019862,108441136,APPLE INC,COM,037833100,,20929422,171342,SH,,SOLE,,171342,0,0,"CONWAY CAPITAL MANAGEMENT, INC.",31-MAR-2021,
0001667731-25-000298,111812931,APPLE INC,COM,037833100,,36194439,296308,SH,,SOLE,,296308,0,0,Clare Market Investments LLC,31-MAR-2021,
0001085146-24-006059,108456437,APPLE INC,COM,037833100,,9432648,77222,SH,,SOLE,,0,0,77222,"Independent Solutions Wealth Management, LLC",31-MAR-2021,
0001214659-24-020374,108423837,APPLE INC,COM,037833100,,8733481,71498,SH,,SOLE,,0,0,71498,"Legacy Wealth Management, LLC / MS",31-MAR-2021,
